id,x,y,diameter,orientation_x,orientation_y,orientation_z
0,0.8368,-6.8078,0.0418,-0.4309,-0.7107,0.556
1,3.966,-2.3685,0.0772,0.0713,-0.5765,0.814
2,2.9793,-3.6181,0.1298,0.0411,0.0005,0.9992
3,3.1209,-5.3571,0.0586,0.0427,0.0155,0.999
4,2.1753,-6.7388,0.0585,0.0313,-0.0073,0.9995
5,0.5044,-9.1424,0.0697,0.0647,-0.0,0.9979
6,4.0375,-5.9033,0.0639,0.0479,0.0231,0.9986
7,3.0903,-7.2821,0.059,0.036,-0.011,0.9993
8,4.917,-6.4485,0.0583,0.0257,0.0355,0.999
9,-6.1412,0.1266,0.0684,0.0309,0.0287,0.9991
10,-6.1019,-1.8898,0.0727,0.0767,0.0191,0.9969
11,-4.2473,0.6308,0.2389,-0.0522,0.1254,0.9907
12,-3.8184,0.64,0.0807,-0.0736,0.0296,0.9968
13,0.615,6.134,0.1731,-0.2702,-0.1264,0.9545
14,-4.1822,-1.0325,0.0625,0.0606,0.0134,0.9981
15,-5.1563,-2.4447,0.0647,0.012,0.0009,0.9999
16,-3.2911,-1.5712,0.0638,0.0111,0.023,0.9997
17,-4.2508,-2.9746,0.0634,0.0274,0.0164,0.9995
18,2.3786,5.4935,0.1056,0.0394,-0.0457,0.9982
19,-2.3828,-2.1081,0.0637,0.0216,0.0005,0.9998
20,-3.3491,-3.519,0.0718,0.0583,0.1226,0.9907
21,-0.6244,-3.1444,0.0621,0.0336,0.0919,0.9952
22,-1.5748,-4.5338,0.0601,0.0135,0.0263,0.9996
23,-3.2236,-6.934,0.0687,0.0227,0.0307,0.9993
24,0.2988,-3.6844,0.066,-0.0124,-0.0012,0.9999
25,-0.6573,-5.0737,0.0558,0.0318,0.0062,0.9995
26,-2.3313,-7.4825,0.0693,0.0136,-0.0161,0.9998
27,1.1815,-4.2042,0.0617,-0.0146,0.069,0.9975
28,0.2272,-5.6037,0.0537,-0.0076,-0.0021,1.0
29,1.2255,-6.1915,0.0547,0.0375,-0.0031,0.9993
30,-0.021,-7.9634,0.0493,0.4808,0.6387,0.6007
31,-0.4326,-8.581,0.0662,0.0327,-0.0717,0.9969
32,1.4298,-9.705,0.0695,0.0231,-0.0383,0.999
33,-8.9018,-0.1727,0.0611,0.0041,0.0127,0.9999
34,-7.0242,0.6423,0.091,0.1574,-0.032,0.987
35,-7.9854,-0.718,0.1188,-0.0897,-0.1199,0.9887
36,-7.1182,-1.289,0.0705,0.0077,-0.0107,0.9999
37,-3.6823,2.1895,0.0607,-0.4702,-0.2451,0.8479
38,-6.5487,-2.5533,0.0555,-0.4225,-0.7224,0.5474
39,-7.7462,-4.2938,0.0793,-0.0124,-0.1402,0.99
40,-4.995,-5.8815,0.0707,0.0347,-0.0024,0.9994
41,-9.6838,2.2206,0.1119,-0.1121,-0.3202,0.9407
42,-8.7374,-3.6472,0.0715,0.0204,0.0372,0.9991
43,3.9743,-7.7994,0.0582,0.0144,0.0092,0.9999
44,-1.4283,-8.0075,0.0639,-0.0032,-0.0162,0.9999
45,-1.6753,-10.4238,0.0574,0.4621,0.6519,0.6013
46,2.2919,-10.2295,0.0632,0.0034,-0.036,0.9993
47,4.5995,-8.9654,0.1246,0.7019,0.7012,0.1249
48,-7.9575,1.1883,0.0673,0.0118,0.0154,0.9998
49,-7.298,-3.6143,0.0479,0.4685,0.662,0.5851
50,-6.7979,-4.831,0.0767,0.0533,-0.0043,0.9986
51,-5.9056,-5.3569,0.0711,0.0393,0.013,0.9991
52,-6.6993,-8.3716,0.0756,-0.0149,-0.035,0.9993
53,-4.9176,-9.3801,0.0938,0.0654,0.0512,0.9965
54,-4.0129,-9.9236,0.0854,0.0198,-0.0038,0.9998
55,-9.6455,-3.1095,0.0598,0.0039,-0.0318,0.9995
56,-8.9565,-5.9999,0.0506,0.4917,0.6948,0.5249
57,4.332,-8.9244,0.0796,0.1444,-0.2469,0.9582
58,4.7985,-9.5134,0.0966,0.3868,0.5337,0.752
59,-4.6226,0.8293,0.1282,-0.0278,0.0003,0.9996
60,-1.1755,-11.6016,0.0761,0.0141,0.0526,0.9985
61,-3.1103,-10.4521,0.0825,-0.0361,0.0786,0.9963
62,-10.54,-2.5592,0.0574,0.0064,0.0014,1.0
63,-9.466,-6.7657,0.0698,-0.0031,-0.0561,0.9984
64,-7.592,-7.811,0.0717,0.0382,-0.0422,0.9984
65,-2.1223,-11.0758,0.0781,0.0086,-0.1025,0.9947
66,-10.664,0.8716,0.0535,-0.008,-0.0859,0.9963
67,-10.4364,-6.1161,0.0619,0.0027,0.0127,0.9999
68,-8.4864,-7.2961,0.0632,0.0073,0.0086,0.9999
69,-11.3394,-5.5865,0.0583,0.0427,0.0185,0.9989
70,6.6848,-7.4826,0.0691,-0.0171,-0.1281,0.9916
71,-3.8011,-13.4737,0.0769,0.0278,-0.1032,0.9943
72,-0.2652,-12.1321,0.0683,0.0698,-0.0168,0.9974
73,0.6358,-12.6622,0.0627,-0.0035,-0.0401,0.9992
74,-9.2824,-10.2693,0.072,0.0116,-0.051,0.9986
75,-8.3705,-10.7949,0.0765,0.0039,-0.0077,1.0
76,-6.6049,-11.8362,0.0851,0.0097,0.011,0.9999
77,-5.6918,-12.3707,0.0728,0.0103,0.0152,0.9998
78,-12.2232,-5.0195,0.0479,0.0278,0.0405,0.9988
79,-2.1429,-13.0739,0.1054,0.0735,-0.1616,0.9841
80,-2.8481,-14.0311,0.0805,-0.0001,-0.0681,0.9977
81,-1.9313,-14.5707,0.0727,0.0471,-0.0439,0.9979
82,-10.1817,-9.7472,0.0581,0.0785,-0.0183,0.9967
83,-4.7922,-12.9009,0.0771,-0.0241,-0.0347,0.9991
84,-12.3019,-1.5067,0.0477,-0.0352,-0.0315,0.9989
85,-12.1221,-8.581,0.0579,-0.0031,0.0226,0.9997
86,4.0752,-11.2629,0.0529,0.0165,0.0369,0.9992
87,-8.2959,-14.3035,0.0955,0.0138,-0.0317,0.9994
88,-11.1368,-9.2396,0.0664,0.0577,-0.0898,0.9943
89,-10.9675,-12.7553,0.0852,0.0342,-0.0797,0.9962
90,-7.3836,-14.8324,0.0898,-0.028,-0.0314,0.9991
91,-5.487,-15.9628,0.0721,-0.0198,-0.1069,0.9941
92,-4.5222,-16.4738,0.0775,0.053,0.0238,0.9983
93,-1.0422,-15.0932,0.0692,0.0193,-0.0089,0.9998
94,2.3843,-13.7267,0.0617,-0.0411,-0.003,0.9992
95,-11.8709,-12.213,0.0685,0.0259,-0.0297,0.9992
96,-10.0681,-13.2662,0.0758,0.0221,0.0043,0.9997
97,-13.8137,-11.0506,0.0666,-0.0162,0.0353,0.9992
98,-6.4809,-15.3604,0.0812,-0.0437,0.1007,0.994
99,-3.6198,-17.0384,0.0773,0.022,-0.0443,0.9988
100,-13.9972,-3.9896,0.0502,-0.0356,0.0311,0.9989
101,-13.928,-7.4855,0.0463,0.0002,0.0058,1.0
102,-13.0312,-8.0461,0.0552,0.0219,-0.0109,0.9997
103,-12.7962,-11.7209,0.069,0.0301,-0.0795,0.9964
104,-14.7206,-10.5176,0.0607,0.0161,0.0281,0.9995
105,-12.6279,-15.1519,0.0817,0.0209,0.0034,0.9998
106,-11.7328,-15.6993,0.0784,0.0449,-0.0745,0.9962
107,-9.9536,-16.7341,0.0793,0.0317,0.0722,0.9969
108,-8.1472,-17.8004,0.08,-0.0128,0.0476,0.9988
109,-2.737,-17.5745,0.0605,-0.0144,-0.0105,0.9998
110,-14.4738,-14.1092,0.0711,0.0211,-0.0594,0.998
111,-7.1471,-18.4449,0.0761,0.0127,-0.0898,0.9959
112,-6.2149,-18.9476,0.0803,0.0322,-0.009,0.9994
113,-15.6822,-6.445,0.0555,0.0442,0.0169,0.9989
114,-9.055,-17.2695,0.079,-0.0613,-0.0344,0.9975
115,-5.2987,-19.4817,0.0694,0.0461,-0.031,0.9985
116,-4.4097,-20.0073,0.0566,0.0318,-0.0016,0.9995
117,-16.3822,-12.9385,0.0631,0.0319,0.0087,0.9995
118,-15.4759,-13.476,0.0668,-0.0071,0.0222,0.9997
119,-13.5219,-14.6298,0.0717,0.0599,-0.0184,0.998
120,-8.7926,-20.8812,0.0707,0.0385,-0.0794,0.9961
121,-15.6148,-9.9561,0.0529,0.0173,0.0347,0.9992
122,-14.3252,-17.6525,0.0913,0.08,-0.014,0.9967
123,-11.6573,-19.2236,0.0812,-0.0282,-0.0019,0.9996
124,-10.7382,-19.7337,0.0875,0.0047,-0.0079,1.0
